ID,prediksi,probabilitas,cluster,cluster_label,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
39,no,26.34%,0,Prospek Baru,36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no
40,no,0.25%,0,Prospek Baru,37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no
41,no,0.25%,0,Prospek Baru,44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no
42,no,0.24%,0,Prospek Baru,50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no
43,no,0.04%,0,Prospek Baru,60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no
44,no,47.46%,0,Prospek Baru,54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,no
45,no,16.55%,0,Prospek Baru,58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,no
46,no,0.52%,0,Prospek Baru,36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no
47,no,0.96%,0,Prospek Baru,58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no
48,no,0.49%,0,Prospek Baru,44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown,no
49,no,0.47%,0,Prospek Baru,55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no
50,no,2.80%,0,Prospek Baru,29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,-1,0,unknown,no
51,no,0.62%,0,Prospek Baru,54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,no
52,no,0.86%,0,Prospek Baru,48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,no
53,no,0.41%,0,Prospek Baru,32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no
54,yes,54.82%,0,Prospek Baru,42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no
55,no,0.19%,0,Prospek Baru,24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no
56,no,0.28%,0,Prospek Baru,38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,-1,0,unknown,no
57,no,0.15%,0,Prospek Baru,38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no
58,no,0.03%,0,Prospek Baru,47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,13,1,-1,0,unknown,no
59,no,0.29%,0,Prospek Baru,40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no
60,yes,50.32%,0,Prospek Baru,46,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,no
61,no,0.21%,0,Prospek Baru,32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no
62,no,44.41%,0,Prospek Baru,53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,no
63,no,0.18%,0,Prospek Baru,57,blue-collar,married,primary,no,249,yes,no,unknown,5,may,164,1,-1,0,unknown,no
64,no,1.67%,0,Prospek Baru,33,services,married,secondary,no,790,yes,no,unknown,5,may,391,1,-1,0,unknown,no
65,no,1.04%,0,Prospek Baru,49,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,357,1,-1,0,unknown,no
66,no,0.10%,0,Prospek Baru,51,management,married,tertiary,no,6530,yes,no,unknown,5,may,91,1,-1,0,unknown,no
67,no,18.23%,0,Prospek Baru,60,retired,married,tertiary,no,100,no,no,unknown,5,may,528,1,-1,0,unknown,no
68,no,1.01%,0,Prospek Baru,59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,273,1,-1,0,unknown,no
69,no,0.24%,0,Prospek Baru,55,technician,married,secondary,no,1205,yes,no,unknown,5,may,158,2,-1,0,unknown,no
70,no,0.21%,0,Prospek Baru,35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,may,177,1,-1,0,unknown,no
71,no,0.32%,0,Prospek Baru,57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,may,258,1,-1,0,unknown,no
72,no,0.16%,0,Prospek Baru,31,services,married,secondary,no,25,yes,yes,unknown,5,may,172,1,-1,0,unknown,no
73,no,0.11%,0,Prospek Baru,54,management,married,secondary,no,282,yes,yes,unknown,5,may,154,1,-1,0,unknown,no
74,no,0.58%,0,Prospek Baru,55,blue-collar,married,primary,no,23,yes,no,unknown,5,may,291,1,-1,0,unknown,no
75,no,0.30%,0,Prospek Baru,43,technician,married,secondary,no,1937,yes,no,unknown,5,may,181,1,-1,0,unknown,no
76,no,0.29%,0,Prospek Baru,53,technician,married,secondary,no,384,yes,no,unknown,5,may,176,1,-1,0,unknown,no
77,no,0.45%,0,Prospek Baru,44,blue-collar,married,secondary,no,582,no,yes,unknown,5,may,211,1,-1,0,unknown,no
78,no,2.07%,0,Prospek Baru,55,services,divorced,secondary,no,91,no,no,unknown,5,may,349,1,-1,0,unknown,no
79,no,0.43%,0,Prospek Baru,49,services,divorced,secondary,no,0,yes,yes,unknown,5,may,272,1,-1,0,unknown,no
80,no,0.30%,0,Prospek Baru,55,services,divorced,secondary,yes,1,yes,no,unknown,5,may,208,1,-1,0,unknown,no
81,no,0.50%,0,Prospek Baru,45,admin.,single,secondary,no,206,yes,no,unknown,5,may,193,1,-1,0,unknown,no
82,no,0.88%,0,Prospek Baru,47,services,divorced,secondary,no,164,no,no,unknown,5,may,212,1,-1,0,unknown,no
83,no,0.08%,0,Prospek Baru,42,technician,single,secondary,no,690,yes,no,unknown,5,may,20,1,-1,0,unknown,no
84,no,45.70%,0,Prospek Baru,59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes
85,no,0.27%,0,Prospek Baru,46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,246,1,-1,0,unknown,no
86,no,12.69%,0,Prospek Baru,51,blue-collar,married,primary,no,173,yes,no,unknown,5,may,529,2,-1,0,unknown,no
87,no,46.31%,0,Prospek Baru,56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,yes
88,yes,55.75%,0,Prospek Baru,41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes
89,no,0.16%,0,Prospek Baru,46,management,divorced,secondary,no,16,yes,yes,unknown,5,may,188,2,-1,0,unknown,no
90,no,0.30%,0,Prospek Baru,57,retired,married,secondary,no,486,yes,no,unknown,5,may,180,2,-1,0,unknown,no
91,no,0.13%,0,Prospek Baru,42,management,single,secondary,no,50,no,no,unknown,5,may,48,1,-1,0,unknown,no
92,no,0.24%,0,Prospek Baru,30,technician,married,secondary,no,152,yes,yes,unknown,5,may,213,2,-1,0,unknown,no
93,no,24.00%,0,Prospek Baru,60,admin.,married,secondary,no,290,yes,no,unknown,5,may,583,1,-1,0,unknown,no
94,no,0.43%,0,Prospek Baru,60,blue-collar,married,unknown,no,54,yes,no,unknown,5,may,221,1,-1,0,unknown,no
95,no,0.33%,0,Prospek Baru,57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,173,1,-1,0,unknown,no
96,no,2.38%,0,Prospek Baru,36,management,married,tertiary,no,101,yes,yes,unknown,5,may,426,1,-1,0,unknown,no
97,no,1.60%,0,Prospek Baru,55,blue-collar,married,secondary,no,383,no,no,unknown,5,may,287,1,-1,0,unknown,no
98,no,0.13%,0,Prospek Baru,60,retired,married,tertiary,no,81,yes,no,unknown,5,may,101,1,-1,0,unknown,no
99,no,0.38%,0,Prospek Baru,39,technician,married,secondary,no,0,yes,no,unknown,5,may,203,1,-1,0,unknown,no
100,no,0.50%,0,Prospek Baru,46,management,married,tertiary,no,229,yes,no,unknown,5,may,197,1,-1,0,unknown,no
101,no,0.64%,0,Prospek Baru,44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,257,1,-1,0,unknown,no
102,no,0.12%,0,Prospek Baru,53,blue-collar,married,primary,no,90,no,no,unknown,5,may,124,1,-1,0,unknown,no
103,no,0.38%,0,Prospek Baru,52,blue-collar,married,primary,no,128,yes,no,unknown,5,may,229,1,-1,0,unknown,no
104,no,0.03%,0,Prospek Baru,59,blue-collar,married,primary,no,179,yes,no,unknown,5,may,55,3,-1,0,unknown,no
105,no,3.24%,0,Prospek Baru,27,technician,single,tertiary,no,0,yes,no,unknown,5,may,400,1,-1,0,unknown,no
106,no,0.38%,0,Prospek Baru,44,blue-collar,married,secondary,no,54,yes,no,unknown,5,may,197,1,-1,0,unknown,no
107,no,0.37%,0,Prospek Baru,47,technician,married,tertiary,no,151,yes,no,unknown,5,may,190,1,-1,0,unknown,no
108,no,0.08%,0,Prospek Baru,34,admin.,married,secondary,no,61,no,yes,unknown,5,may,21,1,-1,0,unknown,no
109,no,9.95%,0,Prospek Baru,59,retired,single,secondary,no,30,yes,no,unknown,5,may,514,1,-1,0,unknown,no
110,yes,52.07%,0,Prospek Baru,45,management,married,tertiary,no,523,yes,no,unknown,5,may,849,2,-1,0,unknown,no
111,no,0.44%,0,Prospek Baru,29,services,divorced,secondary,no,31,yes,no,unknown,5,may,194,1,-1,0,unknown,no
112,no,0.39%,0,Prospek Baru,46,technician,divorced,secondary,no,79,no,no,unknown,5,may,144,1,-1,0,unknown,no
113,no,0.07%,0,Prospek Baru,56,self-employed,married,primary,no,-34,yes,yes,unknown,5,may,212,2,-1,0,unknown,no
114,no,0.62%,0,Prospek Baru,36,blue-collar,married,primary,no,448,yes,no,unknown,5,may,286,1,-1,0,unknown,no
115,no,0.07%,0,Prospek Baru,59,retired,divorced,primary,no,81,yes,no,unknown,5,may,107,1,-1,0,unknown,no
116,no,0.58%,0,Prospek Baru,44,blue-collar,married,secondary,no,144,yes,no,unknown,5,may,247,2,-1,0,unknown,no
117,no,12.76%,0,Prospek Baru,41,admin.,married,secondary,no,351,yes,no,unknown,5,may,518,1,-1,0,unknown,no
118,no,2.13%,0,Prospek Baru,33,management,single,tertiary,no,-67,yes,no,unknown,5,may,364,1,-1,0,unknown,no
119,no,0.81%,0,Prospek Baru,59,management,divorced,tertiary,no,262,no,no,unknown,5,may,178,1,-1,0,unknown,no
120,no,0.12%,0,Prospek Baru,57,technician,married,primary,no,0,no,no,unknown,5,may,98,1,-1,0,unknown,no
121,no,2.21%,0,Prospek Baru,56,technician,divorced,unknown,no,56,yes,no,unknown,5,may,439,1,-1,0,unknown,no
122,no,0.05%,0,Prospek Baru,51,blue-collar,married,secondary,no,26,yes,no,unknown,5,may,79,1,-1,0,unknown,no
123,no,0.07%,0,Prospek Baru,34,admin.,married,unknown,no,3,yes,no,unknown,5,may,120,3,-1,0,unknown,no
124,no,0.07%,0,Prospek Baru,43,services,married,secondary,no,41,yes,yes,unknown,5,may,127,2,-1,0,unknown,no
125,no,0.32%,0,Prospek Baru,52,technician,married,tertiary,no,7,no,yes,unknown,5,may,175,1,-1,0,unknown,no
126,no,0.73%,0,Prospek Baru,33,technician,single,secondary,no,105,yes,no,unknown,5,may,262,2,-1,0,unknown,no
127,no,0.08%,0,Prospek Baru,29,admin.,single,secondary,no,818,yes,yes,unknown,5,may,61,1,-1,0,unknown,no
128,no,0.04%,0,Prospek Baru,34,services,married,secondary,no,-16,yes,yes,unknown,5,may,78,1,-1,0,unknown,no
129,no,0.19%,0,Prospek Baru,31,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,143,1,-1,0,unknown,no
130,no,18.59%,0,Prospek Baru,55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,yes
131,no,23.45%,0,Prospek Baru,55,management,married,unknown,no,1185,no,no,unknown,5,may,677,1,-1,0,unknown,no
132,no,1.37%,0,Prospek Baru,32,admin.,single,secondary,no,217,yes,no,unknown,5,may,345,1,-1,0,unknown,no
133,no,0.38%,0,Prospek Baru,38,technician,single,secondary,no,1685,yes,no,unknown,5,may,185,1,-1,0,unknown,no
134,no,0.07%,0,Prospek Baru,55,admin.,single,secondary,no,802,yes,yes,unknown,5,may,100,2,-1,0,unknown,no
135,no,0.18%,0,Prospek Baru,28,unemployed,single,tertiary,no,0,yes,no,unknown,5,may,125,2,-1,0,unknown,no
136,no,0.41%,0,Prospek Baru,23,blue-collar,married,secondary,no,94,yes,no,unknown,5,may,193,1,-1,0,unknown,no
137,no,0.24%,0,Prospek Baru,32,technician,single,secondary,no,0,yes,no,unknown,5,may,136,1,-1,0,unknown,no
138,no,0.12%,0,Prospek Baru,43,services,single,unknown,no,0,no,no,unknown,5,may,73,1,-1,0,unknown,no
139,no,16.30%,0,Prospek Baru,32,blue-collar,married,secondary,no,517,yes,no,unknown,5,may,528,1,-1,0,unknown,no
140,no,18.23%,0,Prospek Baru,46,blue-collar,married,secondary,no,265,yes,no,unknown,5,may,541,1,-1,0,unknown,no
141,no,0.10%,0,Prospek Baru,53,housemaid,divorced,primary,no,947,yes,no,unknown,5,may,163,1,-1,0,unknown,no
142,no,0.68%,0,Prospek Baru,34,self-employed,single,secondary,no,3,yes,no,unknown,5,may,301,1,-1,0,unknown,no
143,no,0.08%,0,Prospek Baru,57,unemployed,married,tertiary,no,42,no,no,unknown,5,may,46,1,-1,0,unknown,no
144,no,0.40%,0,Prospek Baru,37,blue-collar,married,secondary,no,37,yes,no,unknown,5,may,204,1,-1,0,unknown,no
145,no,0.06%,0,Prospek Baru,59,blue-collar,married,secondary,no,57,yes,no,unknown,5,may,98,1,-1,0,unknown,no
146,no,0.05%,0,Prospek Baru,33,services,married,secondary,no,22,yes,no,unknown,5,may,71,1,-1,0,unknown,no
147,no,0.18%,0,Prospek Baru,56,blue-collar,divorced,primary,no,8,yes,no,unknown,5,may,157,2,-1,0,unknown,no
148,no,0.46%,0,Prospek Baru,48,unemployed,married,secondary,no,293,yes,no,unknown,5,may,243,1,-1,0,unknown,no
149,no,0.20%,0,Prospek Baru,43,services,married,primary,no,3,yes,no,unknown,5,may,186,2,-1,0,unknown,no
150,no,20.69%,0,Prospek Baru,54,blue-collar,married,primary,no,348,yes,no,unknown,5,may,579,2,-1,0,unknown,no
151,no,0.20%,0,Prospek Baru,51,blue-collar,married,unknown,no,-19,yes,no,unknown,5,may,163,2,-1,0,unknown,no
152,no,30.18%,0,Prospek Baru,26,student,single,secondary,no,0,yes,no,unknown,5,may,610,2,-1,0,unknown,no
153,yes,58.47%,0,Prospek Baru,40,management,married,tertiary,no,-4,yes,no,unknown,5,may,2033,1,-1,0,unknown,no
154,no,0.05%,0,Prospek Baru,39,management,married,secondary,no,18,yes,no,unknown,5,may,85,1,-1,0,unknown,no
155,no,0.13%,0,Prospek Baru,50,technician,married,primary,no,139,no,no,unknown,5,may,114,2,-1,0,unknown,no
156,no,0.08%,0,Prospek Baru,41,services,married,secondary,no,0,yes,no,unknown,5,may,114,2,-1,0,unknown,no
157,no,0.03%,0,Prospek Baru,51,blue-collar,married,unknown,no,1883,yes,no,unknown,5,may,57,1,-1,0,unknown,no
158,no,0.86%,0,Prospek Baru,60,retired,divorced,secondary,no,216,yes,no,unknown,5,may,238,1,-1,0,unknown,no
159,no,0.05%,0,Prospek Baru,52,blue-collar,married,secondary,no,782,yes,no,unknown,5,may,93,3,-1,0,unknown,no
160,no,0.12%,0,Prospek Baru,48,blue-collar,married,secondary,no,904,yes,no,unknown,5,may,128,2,-1,0,unknown,no
161,no,0.05%,0,Prospek Baru,48,services,married,unknown,no,1705,yes,no,unknown,5,may,107,1,-1,0,unknown,no
162,no,0.41%,0,Prospek Baru,39,technician,single,tertiary,no,47,yes,no,unknown,5,may,181,1,-1,0,unknown,no
163,no,1.06%,0,Prospek Baru,47,services,single,secondary,no,176,yes,no,unknown,5,may,303,2,-1,0,unknown,no
164,no,21.72%,0,Prospek Baru,40,blue-collar,married,secondary,no,1225,yes,no,unknown,5,may,558,5,-1,0,unknown,no
165,no,0.76%,0,Prospek Baru,45,technician,married,secondary,no,86,yes,no,unknown,5,may,270,1,-1,0,unknown,no
166,no,0.67%,0,Prospek Baru,26,admin.,single,secondary,no,82,yes,no,unknown,5,may,228,1,-1,0,unknown,no
167,no,0.12%,0,Prospek Baru,52,management,married,tertiary,no,271,yes,no,unknown,5,may,99,1,-1,0,unknown,no
168,no,0.54%,0,Prospek Baru,54,technician,married,secondary,no,1378,yes,no,unknown,5,may,240,1,-1,0,unknown,no
169,no,33.71%,0,Prospek Baru,54,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,2,-1,0,unknown,yes
170,no,0.85%,0,Prospek Baru,50,blue-collar,married,primary,no,0,no,no,unknown,5,may,233,3,-1,0,unknown,no
171,yes,57.66%,0,Prospek Baru,35,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,1056,1,-1,0,unknown,no
172,no,0.32%,0,Prospek Baru,44,services,married,secondary,no,1357,yes,yes,unknown,5,may,250,1,-1,0,unknown,no
173,no,0.28%,0,Prospek Baru,53,entrepreneur,married,unknown,no,19,yes,no,unknown,5,may,252,1,-1,0,unknown,no
174,no,0.33%,0,Prospek Baru,35,retired,single,primary,no,434,no,no,unknown,5,may,138,1,-1,0,unknown,no
175,no,0.17%,0,Prospek Baru,60,admin.,divorced,secondary,no,92,yes,no,unknown,5,may,130,1,-1,0,unknown,no
176,no,3.32%,0,Prospek Baru,53,admin.,divorced,secondary,no,1151,yes,no,unknown,5,may,412,1,-1,0,unknown,no
177,no,0.24%,0,Prospek Baru,48,unemployed,married,secondary,no,41,yes,no,unknown,5,may,179,2,-1,0,unknown,no
178,no,0.05%,0,Prospek Baru,34,technician,married,secondary,no,51,yes,no,unknown,5,may,19,2,-1,0,unknown,no
179,no,4.47%,0,Prospek Baru,54,services,married,secondary,no,214,yes,no,unknown,5,may,458,2,-1,0,unknown,no
180,no,32.44%,0,Prospek Baru,51,management,married,secondary,no,1161,yes,no,unknown,5,may,717,1,-1,0,unknown,no
181,no,0.82%,0,Prospek Baru,31,services,married,tertiary,no,37,yes,no,unknown,5,may,313,1,-1,0,unknown,no
182,no,40.29%,0,Prospek Baru,35,technician,divorced,secondary,no,787,yes,no,unknown,5,may,683,2,-1,0,unknown,no
183,yes,53.67%,0,Prospek Baru,35,services,married,secondary,no,59,yes,no,unknown,5,may,1077,1,-1,0,unknown,no
184,no,3.26%,0,Prospek Baru,38,technician,married,secondary,no,253,yes,no,unknown,5,may,416,1,-1,0,unknown,no
185,no,0.21%,0,Prospek Baru,36,admin.,married,tertiary,no,211,yes,no,unknown,5,may,146,2,-1,0,unknown,no
186,no,0.20%,0,Prospek Baru,58,retired,married,primary,no,235,yes,no,unknown,5,may,167,1,-1,0,unknown,no
187,no,0.69%,0,Prospek Baru,40,services,divorced,unknown,no,4384,yes,no,unknown,5,may,315,1,-1,0,unknown,no
188,no,0.28%,0,Prospek Baru,54,management,married,secondary,no,4080,no,no,unknown,5,may,140,1,-1,0,unknown,no
189,no,0.73%,0,Prospek Baru,34,blue-collar,single,secondary,no,53,yes,yes,unknown,5,may,346,1,-1,0,unknown,no
190,no,26.82%,0,Prospek Baru,31,management,single,tertiary,no,0,yes,no,unknown,5,may,562,1,-1,0,unknown,no
191,no,0.31%,0,Prospek Baru,51,retired,married,secondary,no,2127,yes,no,unknown,5,may,172,1,-1,0,unknown,no
192,no,0.62%,0,Prospek Baru,33,management,married,tertiary,no,377,yes,no,unknown,5,may,217,1,-1,0,unknown,no
193,no,0.24%,0,Prospek Baru,55,management,married,tertiary,no,73,yes,no,unknown,5,may,142,2,-1,0,unknown,no
194,no,0.06%,0,Prospek Baru,42,admin.,married,secondary,no,445,yes,no,unknown,5,may,67,1,-1,0,unknown,no
195,no,0.83%,0,Prospek Baru,34,blue-collar,married,secondary,no,243,yes,no,unknown,5,may,291,1,-1,0,unknown,no
196,no,1.16%,0,Prospek Baru,33,blue-collar,single,secondary,no,307,yes,no,unknown,5,may,309,2,-1,0,unknown,no
197,no,0.53%,0,Prospek Baru,38,services,married,secondary,no,155,yes,no,unknown,5,may,248,1,-1,0,unknown,no
198,no,0.11%,0,Prospek Baru,50,technician,divorced,tertiary,no,173,no,yes,unknown,5,may,98,1,-1,0,unknown,no
199,no,0.83%,0,Prospek Baru,43,management,married,tertiary,no,400,yes,no,unknown,5,may,256,1,-1,0,unknown,no
200,no,0.09%,0,Prospek Baru,61,blue-collar,divorced,primary,no,1428,yes,no,unknown,5,may,82,2,-1,0,unknown,no
201,no,25.09%,0,Prospek Baru,47,admin.,married,secondary,no,219,yes,no,unknown,5,may,577,1,-1,0,unknown,no
202,no,0.59%,0,Prospek Baru,48,self-employed,married,tertiary,no,7,yes,no,unknown,5,may,286,1,-1,0,unknown,no
203,no,8.68%,0,Prospek Baru,44,blue-collar,married,secondary,no,575,yes,no,unknown,5,may,477,1,-1,0,unknown,no
204,no,18.18%,0,Prospek Baru,35,student,single,unknown,no,298,yes,no,unknown,5,may,611,2,-1,0,unknown,no
205,no,6.26%,0,Prospek Baru,35,services,married,secondary,no,0,yes,no,unknown,5,may,471,1,-1,0,unknown,no
206,no,1.51%,0,Prospek Baru,50,services,married,secondary,no,5699,yes,no,unknown,5,may,381,2,-1,0,unknown,no
207,no,0.06%,0,Prospek Baru,41,management,married,tertiary,no,176,yes,yes,unknown,5,may,42,1,-1,0,unknown,no
208,no,0.83%,0,Prospek Baru,41,management,married,tertiary,no,517,yes,no,unknown,5,may,251,1,-1,0,unknown,no
209,no,2.29%,0,Prospek Baru,39,services,single,unknown,no,257,yes,no,unknown,5,may,408,1,-1,0,unknown,no
210,no,0.50%,0,Prospek Baru,42,retired,married,secondary,no,56,yes,no,unknown,5,may,215,1,-1,0,unknown,no
211,no,0.83%,0,Prospek Baru,38,blue-collar,married,secondary,no,-390,yes,no,unknown,5,may,287,1,-1,0,unknown,no
212,no,0.47%,0,Prospek Baru,53,retired,married,secondary,no,330,yes,no,unknown,5,may,216,2,-1,0,unknown,no
213,no,1.05%,0,Prospek Baru,59,housemaid,divorced,primary,no,195,no,no,unknown,5,may,366,2,-1,0,unknown,no
214,no,0.37%,0,Prospek Baru,36,services,married,secondary,no,301,yes,no,unknown,5,may,210,1,-1,0,unknown,no
215,no,0.60%,0,Prospek Baru,54,blue-collar,married,primary,no,-41,yes,no,unknown,5,may,288,1,-1,0,unknown,no
216,no,0.30%,0,Prospek Baru,40,technician,married,tertiary,no,483,yes,no,unknown,5,may,168,1,-1,0,unknown,no
217,no,1.42%,0,Prospek Baru,47,unknown,married,unknown,no,28,no,no,unknown,5,may,338,2,-1,0,unknown,no
218,no,2.30%,0,Prospek Baru,53,unemployed,married,unknown,no,13,no,no,unknown,5,may,410,3,-1,0,unknown,no
